filename,rate_hz,shape,timestamp
empty_00000.npy,260.07,"(50, 64)",1788670345.5615935
empty_00001.npy,234.17,"(50, 64)",1788670345.783906
empty_00002.npy,214.73,"(50, 64)",1788670346.019819
empty_00003.npy,214.13,"(50, 64)",1788670346.253138
empty_00004.npy,222.28,"(50, 64)",1788670346.4899228
empty_00005.npy,212.83,"(50, 64)",1788670346.7279072
empty_00006.npy,218.90,"(50, 64)",1788670346.9640949
empty_00007.npy,215.38,"(50, 64)",1788670347.203734
empty_00008.npy,216.01,"(50, 64)",1788670347.441838
empty_00009.npy,221.29,"(50, 64)",1788670347.6797972
empty_00010.npy,222.59,"(50, 64)",1788670347.9082599
empty_00011.npy,220.27,"(50, 64)",1788670348.1377616
empty_00012.npy,215.92,"(50, 64)",1788670348.3726106
empty_00013.npy,221.19,"(50, 64)",1788670348.6048856
empty_00014.npy,218.51,"(50, 64)",1788670348.8450615
empty_00015.npy,209.66,"(50, 64)",1788670349.0860667
empty_00016.npy,212.50,"(50, 64)",1788670349.328269
empty_00017.npy,215.56,"(50, 64)",1788670349.5770102
empty_00018.npy,202.42,"(50, 64)",1788670349.8149278
empty_00019.npy,214.32,"(50, 64)",1788670350.0532284
empty_00020.npy,217.40,"(50, 64)",1788670350.2914362
empty_00021.npy,209.22,"(50, 64)",1788670350.5293963
empty_00022.npy,207.18,"(50, 64)",1788670350.7673452
empty_00023.npy,210.86,"(50, 64)",1788670351.010571
empty_00024.npy,202.34,"(50, 64)",1788670351.2761128
empty_00025.npy,198.74,"(50, 64)",1788670351.5650623
empty_00026.npy,217.01,"(50, 64)",1788670351.8046367
empty_00027.npy,214.50,"(50, 64)",1788670352.0423064
empty_00028.npy,219.40,"(50, 64)",1788670352.2800097
empty_00029.npy,219.91,"(50, 64)",1788670352.5187697
empty_00030.npy,224.25,"(50, 64)",1788670352.7562401
empty_00031.npy,209.71,"(50, 64)",1788670353.0064323
empty_00032.npy,212.34,"(50, 64)",1788670353.244857
empty_00033.npy,214.55,"(50, 64)",1788670353.4894798
empty_00034.npy,206.89,"(50, 64)",1788670353.7334464
empty_00035.npy,199.57,"(50, 64)",1788670354.0043454
empty_00036.npy,174.50,"(50, 64)",1788670354.2969134
empty_00037.npy,177.53,"(50, 64)",1788670354.5817828
empty_00038.npy,150.47,"(50, 64)",1788670355.7996945
empty_00039.npy,209.11,"(50, 64)",1788670356.9529228
empty_00040.npy,204.18,"(50, 64)",1788670357.1931713
empty_00041.npy,217.26,"(50, 64)",1788670357.4260478
empty_00042.npy,214.63,"(50, 64)",1788670357.6620376
empty_00043.npy,210.42,"(50, 64)",1788670357.8957958
empty_00044.npy,204.87,"(50, 64)",1788670358.1296828
empty_00045.npy,218.06,"(50, 64)",1788670358.3607574
empty_00046.npy,207.04,"(50, 64)",1788670358.5994356
empty_00047.npy,218.55,"(50, 64)",1788670358.8339126
empty_00048.npy,211.79,"(50, 64)",1788670359.0662975
empty_00049.npy,211.73,"(50, 64)",1788670359.2982724
empty_00050.npy,216.04,"(50, 64)",1788670359.5295398
