filename,rate_hz,shape,timestamp
empty_00000.npy,225.84,"(50, 64)",1788680775.7193847
empty_00001.npy,217.00,"(50, 64)",1788680776.191708
empty_00002.npy,220.38,"(50, 64)",1788680776.4245062
empty_00003.npy,219.33,"(50, 64)",1788680776.6671846
empty_00004.npy,219.61,"(50, 64)",1788680776.9506264
empty_00005.npy,226.19,"(50, 64)",1788680777.1435323
empty_00006.npy,217.00,"(50, 64)",1788680777.381181
empty_00007.npy,217.64,"(50, 64)",1788680777.6252632
empty_00008.npy,217.18,"(50, 64)",1788680777.863596
empty_00009.npy,216.80,"(50, 64)",1788680778.1066086
empty_00010.npy,216.68,"(50, 64)",1788680778.3493173
empty_00011.npy,219.60,"(50, 64)",1788680778.5830698
empty_00012.npy,218.19,"(50, 64)",1788680778.8258035
empty_00013.npy,218.52,"(50, 64)",1788680779.0652933
empty_00014.npy,219.77,"(50, 64)",1788680779.2933896
empty_00015.npy,219.47,"(50, 64)",1788680779.5228949
empty_00016.npy,221.38,"(50, 64)",1788680779.7564733
empty_00017.npy,218.50,"(50, 64)",1788680779.999859
empty_00018.npy,222.32,"(50, 64)",1788680780.232921
empty_00019.npy,212.14,"(50, 64)",1788680780.4746928
empty_00020.npy,215.64,"(50, 64)",1788680780.8191934
empty_00021.npy,220.98,"(50, 64)",1788680781.0595818
empty_00022.npy,219.29,"(50, 64)",1788680781.3012547
empty_00023.npy,219.29,"(50, 64)",1788680781.539518
empty_00024.npy,225.16,"(50, 64)",1788680781.77273
empty_00025.npy,221.48,"(50, 64)",1788680782.0075357
empty_00026.npy,232.75,"(50, 64)",1788680782.2483387
empty_00027.npy,223.02,"(50, 64)",1788680782.4836657
empty_00028.npy,218.88,"(50, 64)",1788680782.7308626
empty_00029.npy,221.51,"(50, 64)",1788680782.9646342
empty_00030.npy,220.96,"(50, 64)",1788680783.2009366
empty_00031.npy,222.57,"(50, 64)",1788680783.4325774
empty_00032.npy,215.20,"(50, 64)",1788680783.6711717
empty_00033.npy,220.63,"(50, 64)",1788680783.9090447
empty_00034.npy,220.43,"(50, 64)",1788680784.1380823
empty_00035.npy,218.28,"(50, 64)",1788680784.3671525
empty_00036.npy,207.14,"(50, 64)",1788680784.6617546
empty_00037.npy,215.70,"(50, 64)",1788680784.9038863
empty_00038.npy,219.40,"(50, 64)",1788680785.1374218
empty_00039.npy,217.34,"(50, 64)",1788680785.3804014
empty_00040.npy,214.09,"(50, 64)",1788680785.633321
empty_00041.npy,218.67,"(50, 64)",1788680785.8663437
empty_00042.npy,221.51,"(50, 64)",1788680786.1015677
empty_00043.npy,220.10,"(50, 64)",1788680789.2683167
empty_00044.npy,219.32,"(50, 64)",1788680789.4980674
empty_00045.npy,221.00,"(50, 64)",1788680789.7308996
empty_00046.npy,218.44,"(50, 64)",1788680789.965638
empty_00047.npy,229.52,"(50, 64)",1788680790.200328
empty_00048.npy,221.11,"(50, 64)",1788680790.4446595
empty_00049.npy,220.31,"(50, 64)",1788680790.67984
empty_00050.npy,218.71,"(50, 64)",1788680790.913532
empty_00051.npy,216.05,"(50, 64)",1788680791.151859
empty_00052.npy,220.93,"(50, 64)",1788680791.390736
empty_00053.npy,221.21,"(50, 64)",1788680791.6193528
empty_00054.npy,220.09,"(50, 64)",1788680791.8494706
empty_00055.npy,218.96,"(50, 64)",1788680792.0821393
empty_00056.npy,218.72,"(50, 64)",1788680792.3208742
empty_00057.npy,219.13,"(50, 64)",1788680792.5502226
empty_00058.npy,221.31,"(50, 64)",1788680792.7853582
empty_00059.npy,218.77,"(50, 64)",1788680793.0220141
empty_00060.npy,214.35,"(50, 64)",1788680793.2602227
empty_00061.npy,219.45,"(50, 64)",1788680793.4942122
empty_00062.npy,218.80,"(50, 64)",1788680793.7297401
empty_00063.npy,217.94,"(50, 64)",1788680793.971128
empty_00064.npy,218.08,"(50, 64)",1788680794.2143106
empty_00065.npy,219.39,"(50, 64)",1788680794.4523268
empty_00066.npy,219.46,"(50, 64)",1788680794.6859748
empty_00067.npy,213.91,"(50, 64)",1788680794.934862
empty_00068.npy,209.29,"(50, 64)",1788680795.1816213
empty_00069.npy,225.75,"(50, 64)",1788680795.416193
empty_00070.npy,216.30,"(50, 64)",1788680795.6578815
empty_00071.npy,211.16,"(50, 64)",1788680795.9064264
empty_00072.npy,220.09,"(50, 64)",1788680796.1398342
empty_00073.npy,216.93,"(50, 64)",1788680796.3685997
empty_00074.npy,214.93,"(50, 64)",1788680796.6101954
empty_00075.npy,213.79,"(50, 64)",1788680796.8995614
empty_00076.npy,217.76,"(50, 64)",1788680797.1396163
empty_00077.npy,222.94,"(50, 64)",1788680797.3802938
empty_00078.npy,219.43,"(50, 64)",1788680797.6147768
empty_00079.npy,216.83,"(50, 64)",1788680797.8606412
empty_00080.npy,214.42,"(50, 64)",1788680798.100662
empty_00081.npy,208.37,"(50, 64)",1788680798.380845
empty_00082.npy,213.50,"(50, 64)",1788680798.6563506
empty_00083.npy,208.81,"(50, 64)",1788680798.9212117
empty_00084.npy,224.40,"(50, 64)",1788680799.1551998
empty_00085.npy,219.90,"(50, 64)",1788680799.3879936
empty_00086.npy,217.80,"(50, 64)",1788680799.626704
empty_00087.npy,214.49,"(50, 64)",1788680800.7658365
empty_00088.npy,229.60,"(50, 64)",1788680800.9985769
empty_00089.npy,226.91,"(50, 64)",1788680801.2320457
empty_00090.npy,206.06,"(50, 64)",1788680801.4743445
empty_00091.npy,223.16,"(50, 64)",1788680801.710732
empty_00092.npy,223.27,"(50, 64)",1788680801.9509141
empty_00093.npy,217.69,"(50, 64)",1788680802.1894622
empty_00094.npy,219.04,"(50, 64)",1788680802.42792
empty_00095.npy,191.00,"(50, 64)",1788680802.684596
empty_00096.npy,222.02,"(50, 64)",1788680802.9250813
empty_00097.npy,221.64,"(50, 64)",1788680803.1659927
empty_00098.npy,225.13,"(50, 64)",1788680803.4026675
empty_00099.npy,224.56,"(50, 64)",1788680803.6380475
empty_00000.npy,198.76,"(50, 64)",1788703730.0287666
empty_00001.npy,198.27,"(50, 64)",1788703730.275195
empty_00002.npy,195.86,"(50, 64)",1788703730.5289297
empty_00003.npy,195.69,"(50, 64)",1788703730.7922266
empty_00004.npy,194.48,"(50, 64)",1788703731.0499554
empty_00005.npy,200.40,"(50, 64)",1788703731.313989
empty_00006.npy,204.41,"(50, 64)",1788703731.568931
empty_00007.npy,193.27,"(50, 64)",1788703731.8343544
empty_00008.npy,198.11,"(50, 64)",1788703732.0890098
empty_00009.npy,199.62,"(50, 64)",1788703732.343982
empty_00010.npy,200.66,"(50, 64)",1788703732.5941172
empty_00011.npy,200.82,"(50, 64)",1788703732.8455107
empty_00012.npy,214.14,"(50, 64)",1788703733.0997376
empty_00013.npy,190.47,"(50, 64)",1788703733.3661754
empty_00014.npy,201.23,"(50, 64)",1788703733.619016
empty_00015.npy,198.87,"(50, 64)",1788703733.8742619
empty_00016.npy,198.20,"(50, 64)",1788703734.1293764
empty_00017.npy,199.89,"(50, 64)",1788703734.3889627
empty_00018.npy,199.83,"(50, 64)",1788703734.6486502
empty_00019.npy,193.03,"(50, 64)",1788703734.9248588
empty_00020.npy,201.09,"(50, 64)",1788703735.1795728
empty_00021.npy,197.49,"(50, 64)",1788703735.433486
empty_00022.npy,203.42,"(50, 64)",1788703735.6852605
empty_00023.npy,200.43,"(50, 64)",1788703735.94042
empty_00024.npy,199.96,"(50, 64)",1788703736.1963408
empty_00025.npy,195.90,"(50, 64)",1788703736.454106
empty_00026.npy,193.91,"(50, 64)",1788703736.706412
empty_00027.npy,182.92,"(50, 64)",1788703737.0192604
empty_00028.npy,198.52,"(50, 64)",1788703737.274147
empty_00029.npy,196.66,"(50, 64)",1788703737.5239594
empty_00030.npy,197.02,"(50, 64)",1788703737.7822728
empty_00031.npy,199.13,"(50, 64)",1788703738.0396008
empty_00032.npy,198.10,"(50, 64)",1788703738.295262
empty_00033.npy,199.63,"(50, 64)",1788703738.5491579
empty_00034.npy,200.61,"(50, 64)",1788703738.8054323
empty_00035.npy,197.87,"(50, 64)",1788703739.0662534
empty_00036.npy,201.53,"(50, 64)",1788703739.3256445
empty_00037.npy,204.39,"(50, 64)",1788703739.574615
empty_00038.npy,190.03,"(50, 64)",1788703739.8349817
empty_00039.npy,196.24,"(50, 64)",1788703740.083593
empty_00040.npy,210.52,"(50, 64)",1788703740.3355386
empty_00041.npy,200.59,"(50, 64)",1788703740.583751
empty_00042.npy,191.34,"(50, 64)",1788703740.8487089
empty_00043.npy,196.75,"(50, 64)",1788703741.1123142
empty_00044.npy,196.32,"(50, 64)",1788703741.3643627
empty_00045.npy,199.14,"(50, 64)",1788703741.6192029
empty_00046.npy,198.03,"(50, 64)",1788703741.8852031
empty_00047.npy,196.16,"(50, 64)",1788703742.147843
empty_00048.npy,201.57,"(50, 64)",1788703742.399831
empty_00049.npy,199.77,"(50, 64)",1788703742.6485457
empty_00050.npy,199.79,"(50, 64)",1788703742.9048417
empty_00051.npy,196.01,"(50, 64)",1788703743.160013
empty_00052.npy,203.26,"(50, 64)",1788703743.432816
empty_00053.npy,152.54,"(50, 64)",1788703743.7921023
empty_00054.npy,216.86,"(50, 64)",1788703744.0359159
empty_00055.npy,192.79,"(50, 64)",1788703744.3101358
empty_00056.npy,194.63,"(50, 64)",1788703744.5701284
empty_00057.npy,193.25,"(50, 64)",1788703744.8593612
empty_00058.npy,197.98,"(50, 64)",1788703745.1239514
empty_00059.npy,197.46,"(50, 64)",1788703745.3747816
empty_00060.npy,199.00,"(50, 64)",1788703745.6304312
empty_00061.npy,198.19,"(50, 64)",1788703745.8798656
empty_00062.npy,197.13,"(50, 64)",1788703746.137486
empty_00063.npy,192.65,"(50, 64)",1788703746.3939877
empty_00064.npy,197.06,"(50, 64)",1788703746.6541097
empty_00065.npy,208.94,"(50, 64)",1788703746.9086342
empty_00066.npy,181.49,"(50, 64)",1788703747.2235603
empty_00067.npy,203.54,"(50, 64)",1788703747.4794757
empty_00068.npy,198.35,"(50, 64)",1788703747.7346728
empty_00069.npy,199.62,"(50, 64)",1788703747.9862235
empty_00070.npy,199.27,"(50, 64)",1788703748.2442174
empty_00071.npy,203.74,"(50, 64)",1788703748.5027227
empty_00072.npy,199.88,"(50, 64)",1788703748.7591677
empty_00073.npy,197.69,"(50, 64)",1788703749.0141177
empty_00074.npy,202.25,"(50, 64)",1788703749.2698584
empty_00075.npy,198.64,"(50, 64)",1788703749.5311646
empty_00076.npy,202.67,"(50, 64)",1788703749.784281
empty_00077.npy,197.92,"(50, 64)",1788703750.039324
empty_00078.npy,204.84,"(50, 64)",1788703750.2956207
empty_00079.npy,202.20,"(50, 64)",1788703750.5453446
empty_00080.npy,202.11,"(50, 64)",1788703750.7949173
empty_00081.npy,199.30,"(50, 64)",1788703751.0445168
empty_00082.npy,191.14,"(50, 64)",1788703751.31217
empty_00083.npy,199.14,"(50, 64)",1788703751.5648568
empty_00084.npy,203.15,"(50, 64)",1788703751.8243434
empty_00085.npy,199.55,"(50, 64)",1788703752.0808284
empty_00086.npy,198.10,"(50, 64)",1788703752.3350384
empty_00087.npy,202.29,"(50, 64)",1788703752.5900435
empty_00088.npy,199.75,"(50, 64)",1788703752.8390303
empty_00089.npy,190.11,"(50, 64)",1788703753.0994184
empty_00090.npy,194.10,"(50, 64)",1788703753.349362
empty_00091.npy,204.58,"(50, 64)",1788703753.5998583
empty_00092.npy,195.17,"(50, 64)",1788703753.859637
empty_00093.npy,189.94,"(50, 64)",1788703754.119766
empty_00094.npy,200.75,"(50, 64)",1788703754.3751452
empty_00095.npy,201.28,"(50, 64)",1788703754.6383471
empty_00096.npy,203.43,"(50, 64)",1788703754.8893156
empty_00097.npy,197.39,"(50, 64)",1788703755.153552
empty_00098.npy,194.55,"(50, 64)",1788703755.4196892
empty_00099.npy,197.17,"(50, 64)",1788703755.6748848
