filename,rate_hz,shape,timestamp
present_00000.npy,218.97,"(50, 64)",1788680901.66779
present_00001.npy,230.65,"(50, 64)",1788680901.8788817
present_00002.npy,213.86,"(50, 64)",1788680902.124509
present_00003.npy,217.31,"(50, 64)",1788680902.3693416
present_00004.npy,214.80,"(50, 64)",1788680902.6122222
present_00005.npy,210.82,"(50, 64)",1788680902.8612468
present_00006.npy,199.44,"(50, 64)",1788680903.1166983
present_00007.npy,216.03,"(50, 64)",1788680903.360707
present_00008.npy,213.92,"(50, 64)",1788680903.6071496
present_00009.npy,218.23,"(50, 64)",1788680903.8585725
present_00010.npy,200.29,"(50, 64)",1788680904.1368158
present_00011.npy,167.66,"(50, 64)",1788680904.4406092
present_00012.npy,171.32,"(50, 64)",1788680904.7370117
present_00013.npy,172.17,"(50, 64)",1788680905.0269413
present_00014.npy,176.07,"(50, 64)",1788680905.3053987
present_00015.npy,171.29,"(50, 64)",1788680905.6034946
present_00016.npy,174.20,"(50, 64)",1788680905.8885107
present_00017.npy,174.63,"(50, 64)",1788680906.1822944
present_00018.npy,174.05,"(50, 64)",1788680906.474473
present_00019.npy,176.07,"(50, 64)",1788680906.758469
present_00020.npy,175.60,"(50, 64)",1788680907.0436056
present_00021.npy,173.87,"(50, 64)",1788680907.3267515
present_00022.npy,175.67,"(50, 64)",1788680907.603529
present_00023.npy,174.08,"(50, 64)",1788680907.8868477
present_00024.npy,173.57,"(50, 64)",1788680908.166109
present_00025.npy,175.59,"(50, 64)",1788680908.4467807
present_00026.npy,173.51,"(50, 64)",1788680908.7388344
present_00027.npy,168.43,"(50, 64)",1788680909.0522392
present_00028.npy,174.94,"(50, 64)",1788680909.3297746
present_00029.npy,174.48,"(50, 64)",1788680909.6161442
present_00030.npy,218.08,"(50, 64)",1788680909.8868499
present_00031.npy,189.27,"(50, 64)",1788680910.1647377
present_00032.npy,169.33,"(50, 64)",1788680910.4581013
present_00033.npy,168.65,"(50, 64)",1788680910.7553794
present_00034.npy,175.22,"(50, 64)",1788680911.0343413
present_00035.npy,175.64,"(50, 64)",1788680911.315399
present_00036.npy,165.87,"(50, 64)",1788680911.613203
present_00037.npy,176.17,"(50, 64)",1788680911.8927338
present_00038.npy,172.71,"(50, 64)",1788680912.1689603
present_00039.npy,177.70,"(50, 64)",1788680912.4469142
present_00040.npy,174.73,"(50, 64)",1788680912.7371254
