filename,rate_hz,shape,timestamp
empty_00000.npy,208.14,"(50, 64)",1788681036.3500106
empty_00001.npy,219.44,"(50, 64)",1788681036.5877244
empty_00002.npy,199.78,"(50, 64)",1788681036.8415024
empty_00003.npy,216.08,"(50, 64)",1788681037.0854378
empty_00004.npy,215.75,"(50, 64)",1788681037.3254466
empty_00005.npy,225.52,"(50, 64)",1788681037.5584173
empty_00006.npy,209.09,"(50, 64)",1788681037.8034713
empty_00007.npy,217.39,"(50, 64)",1788681038.0404654
empty_00008.npy,207.44,"(50, 64)",1788681038.2731435
empty_00009.npy,218.87,"(50, 64)",1788681038.5024543
empty_00010.npy,210.48,"(50, 64)",1788681038.740884
empty_00011.npy,215.25,"(50, 64)",1788681038.9759018
empty_00012.npy,224.48,"(50, 64)",1788681039.2175584
empty_00013.npy,213.45,"(50, 64)",1788681039.4521408
empty_00014.npy,222.46,"(50, 64)",1788681039.685461
empty_00015.npy,214.14,"(50, 64)",1788681039.9190252
empty_00016.npy,207.92,"(50, 64)",1788681040.1533961
empty_00017.npy,199.30,"(50, 64)",1788681040.4158888
empty_00018.npy,216.84,"(50, 64)",1788681040.6670265
empty_00019.npy,219.25,"(50, 64)",1788681041.8032417
empty_00020.npy,214.23,"(50, 64)",1788681042.0490787
empty_00021.npy,224.51,"(50, 64)",1788681042.2845736
empty_00022.npy,190.93,"(50, 64)",1788681042.5455818
empty_00023.npy,218.77,"(50, 64)",1788681042.7893558
empty_00024.npy,218.99,"(50, 64)",1788681043.0291765
empty_00025.npy,229.97,"(50, 64)",1788681044.1594048
empty_00026.npy,226.20,"(50, 64)",1788681044.3975248
empty_00027.npy,223.23,"(50, 64)",1788681044.6359572
empty_00028.npy,228.26,"(50, 64)",1788681044.8715763
empty_00029.npy,224.91,"(50, 64)",1788681045.1076715
empty_00030.npy,225.29,"(50, 64)",1788681045.341702
empty_00031.npy,223.92,"(50, 64)",1788681045.5744338
empty_00032.npy,230.63,"(50, 64)",1788681045.8140318
empty_00033.npy,221.56,"(50, 64)",1788681046.0475965
empty_00034.npy,221.23,"(50, 64)",1788681046.2812705
empty_00035.npy,218.25,"(50, 64)",1788681046.5201895
empty_00036.npy,225.71,"(50, 64)",1788681046.7493763
empty_00037.npy,220.81,"(50, 64)",1788681046.9896014
empty_00038.npy,218.97,"(50, 64)",1788681047.230116
empty_00039.npy,206.55,"(50, 64)",1788681047.473749
empty_00040.npy,223.05,"(50, 64)",1788681047.716378
empty_00041.npy,224.52,"(50, 64)",1788681047.958195
empty_00042.npy,207.39,"(50, 64)",1788681048.2110605
empty_00043.npy,219.36,"(50, 64)",1788681048.4432275
empty_00044.npy,219.21,"(50, 64)",1788681048.687262
empty_00045.npy,221.73,"(50, 64)",1788681048.9305692
empty_00046.npy,218.23,"(50, 64)",1788681049.1646476
empty_00047.npy,220.38,"(50, 64)",1788681049.402311
empty_00048.npy,190.38,"(50, 64)",1788681049.6595712
empty_00049.npy,214.48,"(50, 64)",1788681049.911396
empty_00050.npy,216.76,"(50, 64)",1788681050.159433
empty_00051.npy,214.71,"(50, 64)",1788681050.401792
empty_00052.npy,221.60,"(50, 64)",1788681050.6415372
empty_00053.npy,197.86,"(50, 64)",1788681050.8990002
empty_00054.npy,223.91,"(50, 64)",1788681051.1394136
empty_00055.npy,218.58,"(50, 64)",1788681051.3789752
empty_00056.npy,222.21,"(50, 64)",1788681051.6161213
empty_00057.npy,202.42,"(50, 64)",1788681051.8594403
empty_00058.npy,221.65,"(50, 64)",1788681052.1034746
empty_00059.npy,221.34,"(50, 64)",1788681052.3425324
empty_00060.npy,222.19,"(50, 64)",1788681052.578375
empty_00061.npy,222.59,"(50, 64)",1788681052.8134289
empty_00062.npy,224.23,"(50, 64)",1788681053.0483787
empty_00063.npy,220.28,"(50, 64)",1788681053.2893403
empty_00064.npy,222.05,"(50, 64)",1788681053.5280137
empty_00065.npy,224.19,"(50, 64)",1788681053.7627444
empty_00066.npy,216.38,"(50, 64)",1788681054.0003438
empty_00067.npy,222.95,"(50, 64)",1788681055.1233137
empty_00068.npy,221.73,"(50, 64)",1788681055.361553
empty_00069.npy,216.97,"(50, 64)",1788681055.601457
empty_00070.npy,220.05,"(50, 64)",1788681055.8410466
empty_00071.npy,223.64,"(50, 64)",1788681056.076184
empty_00072.npy,221.42,"(50, 64)",1788681056.3164623
empty_00073.npy,221.42,"(50, 64)",1788681056.5621023
empty_00074.npy,222.86,"(50, 64)",1788681056.8921225
empty_00075.npy,211.14,"(50, 64)",1788681057.9388704
empty_00076.npy,225.54,"(50, 64)",1788681058.1752925
empty_00077.npy,222.54,"(50, 64)",1788681058.4118445
empty_00078.npy,221.02,"(50, 64)",1788681058.670936
empty_00079.npy,226.89,"(50, 64)",1788681058.9089162
empty_00080.npy,225.81,"(50, 64)",1788681059.1449807
empty_00081.npy,205.04,"(50, 64)",1788681059.3893447
empty_00082.npy,216.01,"(50, 64)",1788681059.635109
empty_00083.npy,215.28,"(50, 64)",1788681059.8804154
empty_00084.npy,218.71,"(50, 64)",1788681060.1189106
empty_00085.npy,221.32,"(50, 64)",1788681060.3623106
empty_00086.npy,229.80,"(50, 64)",1788681060.5956116
empty_00087.npy,222.54,"(50, 64)",1788681060.841319
empty_00088.npy,215.80,"(50, 64)",1788681061.0838032
empty_00089.npy,185.69,"(50, 64)",1788681061.3471372
empty_00090.npy,224.71,"(50, 64)",1788681061.5857613
empty_00091.npy,225.18,"(50, 64)",1788681061.8237834
empty_00092.npy,221.89,"(50, 64)",1788681062.0549245
empty_00093.npy,227.61,"(50, 64)",1788681062.285861
empty_00094.npy,226.83,"(50, 64)",1788681062.515028
empty_00095.npy,218.26,"(50, 64)",1788681062.7500255
empty_00096.npy,226.00,"(50, 64)",1788681062.9828076
empty_00097.npy,222.56,"(50, 64)",1788681063.218536
empty_00098.npy,228.06,"(50, 64)",1788681063.459174
empty_00099.npy,220.72,"(50, 64)",1788681063.6987329
empty_00000.npy,158.53,"(50, 64)",1788704009.779343
empty_00001.npy,168.31,"(50, 64)",1788704010.0729644
empty_00002.npy,167.50,"(50, 64)",1788704010.3779142
empty_00003.npy,166.49,"(50, 64)",1788704010.6833599
empty_00004.npy,162.83,"(50, 64)",1788704010.9879644
empty_00005.npy,166.90,"(50, 64)",1788704011.2909665
empty_00006.npy,161.77,"(50, 64)",1788704011.6009433
empty_00007.npy,158.93,"(50, 64)",1788704011.9146366
empty_00008.npy,161.93,"(50, 64)",1788704012.2222824
empty_00009.npy,155.73,"(50, 64)",1788704012.5387628
empty_00010.npy,163.47,"(50, 64)",1788704012.8524764
empty_00011.npy,156.99,"(50, 64)",1788704013.1656191
empty_00012.npy,152.34,"(50, 64)",1788704013.5039651
empty_00013.npy,154.93,"(50, 64)",1788704013.8190815
empty_00014.npy,158.07,"(50, 64)",1788704014.1330106
empty_00015.npy,164.56,"(50, 64)",1788704014.4411173
empty_00016.npy,163.34,"(50, 64)",1788704014.7476697
empty_00017.npy,158.72,"(50, 64)",1788704015.0596688
empty_00018.npy,159.53,"(50, 64)",1788704015.366943
empty_00019.npy,166.18,"(50, 64)",1788704015.6751242
empty_00020.npy,160.25,"(50, 64)",1788704015.9802592
empty_00021.npy,164.62,"(50, 64)",1788704016.290053
empty_00022.npy,171.67,"(50, 64)",1788704016.59317
empty_00023.npy,171.53,"(50, 64)",1788704016.894088
empty_00024.npy,160.77,"(50, 64)",1788704017.202829
empty_00025.npy,170.55,"(50, 64)",1788704017.5047
empty_00026.npy,168.21,"(50, 64)",1788704017.8105814
empty_00027.npy,156.99,"(50, 64)",1788704018.1183999
empty_00028.npy,160.40,"(50, 64)",1788704018.4245188
empty_00029.npy,161.77,"(50, 64)",1788704018.7305183
empty_00030.npy,165.12,"(50, 64)",1788704019.033694
empty_00031.npy,155.61,"(50, 64)",1788704019.3421805
empty_00032.npy,163.02,"(50, 64)",1788704019.6523085
empty_00033.npy,163.39,"(50, 64)",1788704019.9573238
empty_00034.npy,158.46,"(50, 64)",1788704020.2636456
empty_00035.npy,174.22,"(50, 64)",1788704020.5700593
empty_00036.npy,164.01,"(50, 64)",1788704020.8736467
empty_00037.npy,160.17,"(50, 64)",1788704021.182871
empty_00038.npy,162.90,"(50, 64)",1788704021.4916945
empty_00039.npy,167.48,"(50, 64)",1788704021.7992501
empty_00040.npy,166.49,"(50, 64)",1788704022.102773
empty_00041.npy,160.30,"(50, 64)",1788704022.412888
empty_00042.npy,172.29,"(50, 64)",1788704022.7191894
empty_00043.npy,154.13,"(50, 64)",1788704023.0416834
empty_00044.npy,157.06,"(50, 64)",1788704023.3693116
empty_00045.npy,139.96,"(50, 64)",1788704023.7300436
empty_00046.npy,159.81,"(50, 64)",1788704024.052321
empty_00047.npy,158.26,"(50, 64)",1788704024.3679729
empty_00048.npy,159.81,"(50, 64)",1788704024.682445
empty_00049.npy,152.16,"(50, 64)",1788704024.9948533
empty_00050.npy,147.60,"(50, 64)",1788704025.310809
empty_00051.npy,176.81,"(50, 64)",1788704025.624826
empty_00052.npy,158.88,"(50, 64)",1788704025.944116
empty_00053.npy,166.72,"(50, 64)",1788704026.268901
empty_00054.npy,164.66,"(50, 64)",1788704026.5825796
empty_00055.npy,162.85,"(50, 64)",1788704026.8933816
empty_00056.npy,161.00,"(50, 64)",1788704027.1974812
empty_00057.npy,156.42,"(50, 64)",1788704027.5115893
empty_00058.npy,157.22,"(50, 64)",1788704027.825653
empty_00059.npy,153.01,"(50, 64)",1788704028.140192
empty_00060.npy,163.78,"(50, 64)",1788704028.4503055
empty_00061.npy,168.19,"(50, 64)",1788704028.757248
empty_00062.npy,165.31,"(50, 64)",1788704029.0595648
empty_00063.npy,156.70,"(50, 64)",1788704029.3700109
empty_00064.npy,166.49,"(50, 64)",1788704029.671092
