filename,rate_hz,shape,timestamp
present_00000.npy,218.26,"(50, 64)",1788681157.6716218
present_00001.npy,219.31,"(50, 64)",1788681157.8984125
present_00002.npy,223.02,"(50, 64)",1788681158.132504
present_00003.npy,220.03,"(50, 64)",1788681158.370111
present_00004.npy,219.01,"(50, 64)",1788681158.622919
present_00005.npy,221.09,"(50, 64)",1788681158.833784
present_00006.npy,219.45,"(50, 64)",1788681159.0718362
present_00007.npy,219.09,"(50, 64)",1788681159.3145525
present_00008.npy,222.11,"(50, 64)",1788681159.5487437
present_00009.npy,217.06,"(50, 64)",1788681159.7822268
present_00010.npy,219.20,"(50, 64)",1788681160.0154321
present_00011.npy,222.94,"(50, 64)",1788681160.2542706
present_00012.npy,218.02,"(50, 64)",1788681160.4838772
present_00013.npy,219.11,"(50, 64)",1788681160.7177842
present_00014.npy,215.69,"(50, 64)",1788681160.951163
present_00015.npy,218.75,"(50, 64)",1788681161.1854317
present_00016.npy,218.38,"(50, 64)",1788681161.423126
present_00017.npy,214.79,"(50, 64)",1788681161.663686
present_00018.npy,212.02,"(50, 64)",1788681161.9321263
present_00019.npy,189.50,"(50, 64)",1788681162.2298703
present_00020.npy,211.04,"(50, 64)",1788681162.492645
present_00021.npy,215.73,"(50, 64)",1788681162.729445
present_00022.npy,219.82,"(50, 64)",1788681162.9732897
present_00023.npy,219.23,"(50, 64)",1788681163.2108335
present_00024.npy,187.38,"(50, 64)",1788681163.4843628
present_00025.npy,214.05,"(50, 64)",1788681163.740676
present_00026.npy,212.31,"(50, 64)",1788681164.0358737
present_00027.npy,213.27,"(50, 64)",1788681164.2754238
present_00028.npy,220.30,"(50, 64)",1788681164.5171018
present_00029.npy,216.68,"(50, 64)",1788681164.756698
present_00030.npy,218.34,"(50, 64)",1788681165.0040722
present_00031.npy,219.84,"(50, 64)",1788681165.2415664
present_00032.npy,220.66,"(50, 64)",1788681165.4758892
present_00033.npy,219.14,"(50, 64)",1788681165.7088544
present_00034.npy,215.31,"(50, 64)",1788681165.9524477
present_00035.npy,218.47,"(50, 64)",1788681166.1853058
present_00036.npy,216.17,"(50, 64)",1788681166.4238203
present_00037.npy,221.28,"(50, 64)",1788681166.6576154
present_00038.npy,215.89,"(50, 64)",1788681166.9006464
present_00039.npy,220.24,"(50, 64)",1788681167.1339831
present_00040.npy,219.34,"(50, 64)",1788681167.3679338
present_00041.npy,219.87,"(50, 64)",1788681167.6020002
present_00042.npy,217.92,"(50, 64)",1788681167.8358965
present_00043.npy,219.70,"(50, 64)",1788681168.064678
present_00044.npy,215.64,"(50, 64)",1788681168.3022482
present_00045.npy,216.21,"(50, 64)",1788681168.5414891
present_00046.npy,216.50,"(50, 64)",1788681168.860921
present_00047.npy,227.39,"(50, 64)",1788681169.0824084
present_00048.npy,218.53,"(50, 64)",1788681169.3250835
present_00049.npy,220.06,"(50, 64)",1788681169.562991
present_00050.npy,218.93,"(50, 64)",1788681169.804575
present_00051.npy,218.94,"(50, 64)",1788681170.035966
present_00052.npy,211.61,"(50, 64)",1788681170.2829823
present_00053.npy,218.30,"(50, 64)",1788681170.5219805
present_00054.npy,216.31,"(50, 64)",1788681170.760046
present_00055.npy,217.48,"(50, 64)",1788681170.9934573
present_00056.npy,216.96,"(50, 64)",1788681171.2330198
present_00057.npy,213.11,"(50, 64)",1788681171.5014272
present_00058.npy,200.16,"(50, 64)",1788681171.7735972
present_00059.npy,206.84,"(50, 64)",1788681172.0262272
present_00060.npy,177.56,"(50, 64)",1788681172.2992673
present_00061.npy,214.82,"(50, 64)",1788681172.5613704
present_00062.npy,192.96,"(50, 64)",1788681172.8650138
present_00063.npy,218.78,"(50, 64)",1788681173.1044261
present_00064.npy,183.66,"(50, 64)",1788681178.1149855
present_00065.npy,184.77,"(50, 64)",1788681178.3656175
present_00066.npy,225.99,"(50, 64)",1788681178.6062365
present_00067.npy,209.24,"(50, 64)",1788681178.8589563
present_00068.npy,186.20,"(50, 64)",1788681179.115108
present_00069.npy,212.50,"(50, 64)",1788681179.3605785
present_00070.npy,190.56,"(50, 64)",1788681179.6269965
present_00071.npy,204.44,"(50, 64)",1788681179.8785157
present_00072.npy,187.66,"(50, 64)",1788681180.1387892
present_00073.npy,220.71,"(50, 64)",1788681180.51246
present_00074.npy,185.12,"(50, 64)",1788681181.5347981
present_00075.npy,210.03,"(50, 64)",1788681181.7952192
present_00076.npy,204.01,"(50, 64)",1788681182.0495324
present_00077.npy,204.41,"(50, 64)",1788681182.3068542
present_00078.npy,192.89,"(50, 64)",1788681182.570986
present_00079.npy,188.16,"(50, 64)",1788681182.8405159
present_00080.npy,177.36,"(50, 64)",1788681183.1128826
present_00081.npy,234.44,"(50, 64)",1788681185.213357
present_00082.npy,112.15,"(50, 64)",1788681185.782754
present_00083.npy,227.72,"(50, 64)",1788681186.02374
present_00084.npy,209.67,"(50, 64)",1788681186.275284
present_00085.npy,214.78,"(50, 64)",1788681186.5172877
present_00086.npy,207.70,"(50, 64)",1788681186.7743433
present_00087.npy,206.81,"(50, 64)",1788681187.0303473
present_00088.npy,213.30,"(50, 64)",1788681187.2784579
present_00089.npy,181.18,"(50, 64)",1788681187.5428274
present_00090.npy,209.57,"(50, 64)",1788681187.7998433
present_00091.npy,212.78,"(50, 64)",1788681188.0479898
present_00092.npy,225.52,"(50, 64)",1788681188.2831407
present_00093.npy,236.32,"(50, 64)",1788681188.5667412
present_00094.npy,217.64,"(50, 64)",1788681188.8105974
present_00095.npy,207.75,"(50, 64)",1788681189.059134
present_00096.npy,224.54,"(50, 64)",1788681189.2953117
present_00097.npy,218.77,"(50, 64)",1788681189.5453734
present_00098.npy,215.72,"(50, 64)",1788681189.7919607
present_00099.npy,215.76,"(50, 64)",1788681190.0390272
present_00000.npy,152.99,"(50, 64)",1788704103.8912601
present_00001.npy,163.38,"(50, 64)",1788704104.195143
present_00002.npy,163.92,"(50, 64)",1788704104.5099983
present_00003.npy,153.79,"(50, 64)",1788704104.8288474
present_00004.npy,164.34,"(50, 64)",1788704105.136948
present_00005.npy,159.67,"(50, 64)",1788704105.4537218
present_00006.npy,163.51,"(50, 64)",1788704105.7661738
present_00007.npy,159.01,"(50, 64)",1788704106.0740519
present_00008.npy,162.20,"(50, 64)",1788704106.3923664
present_00009.npy,161.33,"(50, 64)",1788704106.7032886
present_00010.npy,167.50,"(50, 64)",1788704107.0142748
present_00011.npy,156.51,"(50, 64)",1788704107.327668
present_00012.npy,163.89,"(50, 64)",1788704107.6388044
present_00013.npy,162.36,"(50, 64)",1788704107.9453533
present_00014.npy,172.42,"(50, 64)",1788704108.2556708
present_00015.npy,153.37,"(50, 64)",1788704108.5678895
present_00016.npy,157.82,"(50, 64)",1788704108.881859
present_00017.npy,164.64,"(50, 64)",1788704109.1927624
present_00018.npy,159.53,"(50, 64)",1788704109.4995022
present_00019.npy,161.76,"(50, 64)",1788704109.8031092
present_00020.npy,159.88,"(50, 64)",1788704110.1123455
present_00021.npy,154.58,"(50, 64)",1788704110.4271517
present_00022.npy,155.43,"(50, 64)",1788704110.7481596
present_00023.npy,164.53,"(50, 64)",1788704111.0581274
present_00024.npy,186.67,"(50, 64)",1788704111.375602
present_00025.npy,161.08,"(50, 64)",1788704111.6900685
present_00026.npy,158.35,"(50, 64)",1788704112.003039
present_00027.npy,156.63,"(50, 64)",1788704112.314757
present_00028.npy,154.94,"(50, 64)",1788704112.630187
present_00029.npy,161.04,"(50, 64)",1788704112.9451241
present_00030.npy,161.46,"(50, 64)",1788704113.2628794
present_00031.npy,155.87,"(50, 64)",1788704113.5830472
present_00032.npy,152.78,"(50, 64)",1788704113.9028447
present_00033.npy,149.48,"(50, 64)",1788704114.231142
present_00034.npy,154.09,"(50, 64)",1788704114.5551586
present_00035.npy,154.80,"(50, 64)",1788704114.8721926
present_00036.npy,159.81,"(50, 64)",1788704115.192002
present_00037.npy,156.01,"(50, 64)",1788704115.5040164
present_00038.npy,157.71,"(50, 64)",1788704115.848195
present_00039.npy,154.10,"(50, 64)",1788704116.165712
present_00040.npy,159.06,"(50, 64)",1788704116.4847574
present_00041.npy,152.01,"(50, 64)",1788704116.7997644
present_00042.npy,158.42,"(50, 64)",1788704117.109094
present_00043.npy,149.97,"(50, 64)",1788704117.4287746
present_00044.npy,153.89,"(50, 64)",1788704117.7427466
present_00045.npy,157.36,"(50, 64)",1788704118.05458
present_00046.npy,155.91,"(50, 64)",1788704118.3690906
present_00047.npy,157.87,"(50, 64)",1788704118.6849542
present_00048.npy,157.41,"(50, 64)",1788704119.0029914
present_00049.npy,153.99,"(50, 64)",1788704119.3209612
present_00050.npy,164.10,"(50, 64)",1788704119.6315427
present_00051.npy,154.54,"(50, 64)",1788704119.950798
present_00052.npy,167.22,"(50, 64)",1788704120.2547905
present_00053.npy,168.88,"(50, 64)",1788704120.5543826
present_00054.npy,161.98,"(50, 64)",1788704120.8616602
present_00055.npy,166.28,"(50, 64)",1788704121.1645875
present_00056.npy,160.31,"(50, 64)",1788704121.4674568
present_00057.npy,163.42,"(50, 64)",1788704121.7727935
present_00058.npy,166.98,"(50, 64)",1788704122.0726275
present_00059.npy,165.72,"(50, 64)",1788704122.3787074
present_00060.npy,162.05,"(50, 64)",1788704122.6834502
present_00061.npy,164.39,"(50, 64)",1788704122.9850018
present_00062.npy,161.63,"(50, 64)",1788704123.2979214
present_00063.npy,156.66,"(50, 64)",1788704123.6141722
present_00064.npy,162.75,"(50, 64)",1788704123.9297225
present_00065.npy,155.58,"(50, 64)",1788704124.243801
present_00066.npy,157.47,"(50, 64)",1788704124.5531998
present_00067.npy,162.29,"(50, 64)",1788704124.8713896
present_00068.npy,149.03,"(50, 64)",1788704125.1923294
present_00069.npy,163.29,"(50, 64)",1788704125.5083463
present_00070.npy,154.65,"(50, 64)",1788704125.8336053
present_00071.npy,152.79,"(50, 64)",1788704126.1689627
present_00072.npy,156.63,"(50, 64)",1788704126.476362
present_00073.npy,159.69,"(50, 64)",1788704126.78445
present_00074.npy,162.43,"(50, 64)",1788704127.0997877
present_00075.npy,156.80,"(50, 64)",1788704127.4165156
present_00076.npy,152.72,"(50, 64)",1788704127.7415345
present_00077.npy,158.69,"(50, 64)",1788704128.04333
present_00078.npy,159.33,"(50, 64)",1788704128.3553352
present_00079.npy,156.79,"(50, 64)",1788704128.664408
present_00080.npy,154.53,"(50, 64)",1788704128.9842677
present_00081.npy,159.12,"(50, 64)",1788704129.2953963
present_00082.npy,156.36,"(50, 64)",1788704129.607627
present_00083.npy,165.23,"(50, 64)",1788704129.9226418
present_00084.npy,157.31,"(50, 64)",1788704130.2356834
present_00085.npy,158.12,"(50, 64)",1788704130.5485747
present_00086.npy,156.22,"(50, 64)",1788704130.863229
present_00087.npy,166.74,"(50, 64)",1788704131.167524
present_00088.npy,162.48,"(50, 64)",1788704131.4705462
present_00089.npy,166.62,"(50, 64)",1788704131.772416
present_00090.npy,157.16,"(50, 64)",1788704132.07935
present_00091.npy,159.20,"(50, 64)",1788704132.3813844
present_00092.npy,165.68,"(50, 64)",1788704132.6839077
present_00093.npy,167.35,"(50, 64)",1788704132.9871302
present_00094.npy,157.87,"(50, 64)",1788704133.2935352
present_00095.npy,167.00,"(50, 64)",1788704133.5995128
present_00096.npy,168.93,"(50, 64)",1788704133.9029987
present_00097.npy,161.51,"(50, 64)",1788704134.2114327
present_00098.npy,161.11,"(50, 64)",1788704134.512871
present_00099.npy,167.93,"(50, 64)",1788704134.814506
