filename,rate_hz,mean,std,nonzero,elapsed_sec
empty_00000.npy,123.9956,30.570061,16.229172,2600,0.417
empty_00001.npy,151.7294,29.524633,15.600842,2600,0.388
empty_00002.npy,117.9131,29.859259,15.804141,2600,0.438
empty_00003.npy,183.5100,22.627451,19.273817,2587,0.283
empty_00004.npy,201.3382,23.124214,19.509665,2592,0.256
empty_00005.npy,187.6876,22.401068,18.638494,2593,0.272
empty_00006.npy,179.1591,20.655298,16.794008,2592,0.279
empty_00007.npy,179.1425,24.970997,20.416309,2592,0.287
empty_00008.npy,179.6198,21.177258,17.830652,2589,0.281
empty_00009.npy,180.8008,18.927025,15.978529,2586,0.304
empty_00010.npy,183.5830,20.736216,17.472185,2579,0.281
empty_00011.npy,170.3001,20.372534,17.003809,2587,0.277
empty_00012.npy,178.3324,19.734531,16.005308,2599,0.282
empty_00013.npy,176.1534,19.697943,15.805573,2600,0.263
empty_00014.npy,178.6436,20.499887,16.772186,2595,0.280
empty_00015.npy,171.7818,21.963989,18.236452,2580,0.291
empty_00016.npy,180.9572,22.029778,18.243385,2577,0.278
empty_00017.npy,178.6692,23.085352,18.729315,2588,0.277
empty_00018.npy,165.6350,22.502232,18.476866,2579,0.275
empty_00019.npy,176.7375,20.920971,17.125460,2570,0.273
empty_00020.npy,186.4210,21.142363,16.585005,2593,0.270
empty_00021.npy,173.8522,21.443453,17.265722,2597,0.280
empty_00022.npy,180.2188,21.152107,16.939024,2591,0.278
empty_00023.npy,177.0817,21.239958,16.915724,2599,0.280
empty_00024.npy,182.8777,20.505657,16.706060,2589,0.275
empty_00025.npy,190.7334,19.871923,16.753517,2577,0.274
empty_00026.npy,189.8772,20.981655,17.565479,2586,0.274
empty_00027.npy,175.7849,21.515528,17.867750,2587,0.280
empty_00028.npy,188.7706,21.204239,17.756767,2578,0.298
empty_00029.npy,185.4239,19.947130,16.900724,2566,0.275
empty_00030.npy,177.6491,20.145367,16.837629,2584,0.281
empty_00031.npy,162.2703,20.651840,17.223572,2580,4.734
empty_00032.npy,167.7603,19.528126,16.338427,2593,1.015
empty_00033.npy,183.7529,20.031462,15.830465,2592,0.278
empty_00034.npy,179.8402,19.678034,15.708227,2589,0.274
empty_00035.npy,179.5197,22.070904,17.987494,2586,0.284
empty_00036.npy,182.3881,23.315866,19.186064,2585,0.280
empty_00037.npy,181.1611,22.864727,19.376055,2558,0.265
empty_00038.npy,182.0177,21.396791,17.663128,2588,0.278
empty_00039.npy,181.0088,22.442635,17.814758,2595,0.279
empty_00040.npy,164.7747,22.214039,17.773170,2595,0.293
empty_00041.npy,178.9392,22.326309,18.671812,2578,0.273
empty_00042.npy,188.0992,20.411825,16.930637,2587,0.275
empty_00043.npy,179.7682,18.459322,15.743303,2572,0.280
empty_00044.npy,184.9963,17.367931,14.805899,2578,0.425
empty_00045.npy,171.0799,19.661015,16.276213,2585,0.656
empty_00046.npy,137.4317,19.803978,16.447491,2580,1.521
empty_00047.npy,108.3593,18.673416,15.413805,2587,0.698
empty_00048.npy,188.1297,19.114059,15.906709,2578,0.274
empty_00049.npy,184.9921,20.577093,17.136305,2574,0.279
empty_00050.npy,180.4094,20.680048,17.126112,2575,0.273
empty_00051.npy,177.8107,20.864500,17.305460,2586,0.277
empty_00052.npy,174.2281,20.015993,16.643974,2578,0.287
empty_00053.npy,181.0312,21.571192,17.625383,2583,0.280
empty_00054.npy,179.9388,21.120939,16.848747,2596,0.271
empty_00055.npy,186.3131,21.250282,17.288095,2590,0.281
empty_00056.npy,181.1967,20.939400,17.279665,2588,0.275
empty_00057.npy,177.1217,21.452221,18.070034,2588,0.280
empty_00058.npy,178.5624,23.006016,18.816671,2587,0.281
empty_00059.npy,178.3918,22.585728,18.710321,2574,0.295
empty_00060.npy,176.3140,21.005077,17.611807,2573,0.283
empty_00061.npy,180.3887,23.238951,19.178324,2577,0.281
empty_00062.npy,184.6294,21.825668,18.586519,2562,0.744
empty_00063.npy,165.8097,20.441906,17.262615,2590,0.871
empty_00064.npy,170.4480,21.170952,18.116743,2575,0.297
empty_00065.npy,174.1063,21.802492,18.649273,2584,0.286
empty_00066.npy,176.7932,22.111919,18.242847,2593,0.280
empty_00067.npy,186.7881,25.412373,21.575949,2569,0.298
empty_00068.npy,181.7179,22.275940,18.776207,2585,0.278
empty_00069.npy,173.7422,22.758242,18.986023,2577,0.280
empty_00070.npy,182.2769,21.303282,18.108694,2587,0.283
empty_00071.npy,180.9483,21.983486,18.474588,2571,0.275
empty_00072.npy,182.3980,23.403597,19.621325,2568,0.278
empty_00073.npy,181.6916,21.510090,17.993229,2592,0.320
empty_00074.npy,181.2417,20.072411,17.064178,2581,0.274
empty_00075.npy,175.2789,21.796206,18.317814,2584,0.281
empty_00076.npy,195.3746,18.310827,15.556948,2579,0.275
empty_00077.npy,191.6070,19.466925,16.624298,2586,0.269
empty_00078.npy,176.9025,21.642580,18.218243,2585,0.279
empty_00079.npy,177.5609,21.149694,17.659410,2584,0.282
empty_00080.npy,175.9951,21.460205,17.852396,2587,0.280
empty_00081.npy,180.2214,24.289082,20.247940,2574,0.278
empty_00082.npy,165.9133,24.152542,20.040180,2584,0.285
empty_00083.npy,180.7910,21.781082,18.328335,2585,0.275
empty_00084.npy,185.6421,22.910761,19.205418,2583,0.273
empty_00085.npy,175.0624,22.633291,19.200016,2586,0.281
empty_00086.npy,168.4888,23.426008,19.597773,2583,0.288
empty_00087.npy,174.2308,25.314539,20.769419,2595,0.282
empty_00088.npy,174.9628,23.592505,19.336630,2597,0.285
empty_00089.npy,183.9413,23.563120,20.011238,2597,0.276
empty_00090.npy,169.4437,21.672035,18.260557,2591,0.286
empty_00091.npy,174.4909,24.092613,20.105299,2592,0.279
empty_00092.npy,165.5731,22.821507,19.224133,2593,0.289
empty_00093.npy,175.8080,22.181065,18.268410,2579,0.279
empty_00094.npy,166.0891,22.583237,18.951548,2583,0.282
empty_00095.npy,168.6557,22.779692,19.116615,2577,0.291
empty_00096.npy,175.4908,23.565590,19.878885,2575,0.283
empty_00097.npy,175.7019,21.770750,18.518379,2575,0.292
empty_00098.npy,176.1649,21.349781,17.611200,2592,0.286
empty_00099.npy,183.8568,23.902617,19.763117,2590,0.292
empty_00100.npy,194.2286,23.808559,19.442282,2599,0.287
empty_00101.npy,173.0839,23.203892,19.400627,2577,0.277
empty_00102.npy,196.5863,21.049084,17.737818,2567,0.252
