filename,rate_hz,mean,std,nonzero,elapsed_sec
present_00000.npy,175.7054,28.098749,20.936554,2592,0.287
present_00001.npy,170.1716,31.334780,22.308622,2596,0.278
present_00002.npy,178.8452,22.436041,16.084789,2590,0.282
present_00003.npy,174.8412,23.751310,16.719454,2594,0.281
present_00004.npy,177.5956,23.035273,16.026878,2597,0.281
present_00005.npy,170.1825,24.509712,17.665970,2593,0.286
present_00006.npy,173.7869,25.314775,17.594917,2593,0.287
present_00007.npy,180.3206,24.730541,16.939226,2600,0.285
present_00008.npy,174.5760,24.416304,17.489170,2598,0.287
present_00009.npy,181.4614,19.493963,14.540001,2591,0.280
present_00010.npy,183.2031,17.836472,12.939919,2596,0.280
present_00011.npy,191.2120,17.753298,12.644706,2591,1.165
present_00012.npy,181.1197,15.460554,11.366330,2596,0.273
present_00013.npy,199.3437,16.132097,12.106706,2593,0.274
present_00014.npy,183.2914,15.163042,11.361764,2593,0.275
present_00015.npy,188.2640,17.228106,12.669275,2597,0.273
present_00016.npy,185.7762,16.596176,12.347548,2598,0.274
present_00017.npy,177.4110,22.057983,16.546585,2598,0.282
present_00018.npy,187.2172,24.439392,17.457174,2599,0.276
present_00019.npy,179.4109,24.437273,17.812059,2600,0.280
present_00020.npy,173.5552,21.676485,15.752968,2595,0.280
present_00021.npy,180.5620,21.023062,14.393041,2599,0.282
present_00022.npy,182.9448,23.928501,16.563044,2600,1.175
present_00023.npy,168.3617,27.195147,18.006016,2600,0.294
present_00024.npy,199.9758,25.611910,16.886074,2600,0.316
present_00025.npy,173.0478,25.525837,17.208113,2600,0.288
present_00026.npy,175.9449,23.723598,15.840259,2600,0.291
present_00027.npy,171.1282,21.710953,14.606695,2599,0.285
present_00028.npy,183.4972,20.615032,14.042265,2600,0.278
present_00029.npy,180.7174,22.601374,15.052516,2600,0.279
present_00030.npy,172.0870,23.177553,16.049332,2599,0.283
present_00031.npy,177.3126,24.373529,16.595106,2600,3.247
present_00032.npy,171.2466,23.628046,16.052212,2600,0.287
present_00033.npy,173.9011,24.744556,16.928324,2600,0.281
present_00034.npy,177.3838,25.181273,17.189426,2600,0.285
