filename,rate_hz,mean,std,nonzero,elapsed_sec
empty_00000.npy,173.4434,19.039845,11.765880,2600,0.287
empty_00001.npy,187.3632,19.332663,12.774523,2600,0.268
empty_00002.npy,176.0557,19.726112,12.286052,2600,0.293
empty_00003.npy,179.5307,21.822138,15.168089,2600,0.283
empty_00004.npy,189.2224,21.891001,13.818659,2600,0.280
empty_00005.npy,174.9190,22.533308,14.903882,2600,0.287
empty_00006.npy,182.7409,19.855169,12.671207,2600,0.283
empty_00007.npy,179.4801,18.569988,12.343392,2600,0.278
empty_00008.npy,190.0879,18.387468,12.266012,2600,0.277
empty_00009.npy,172.8537,18.141720,11.724102,2600,0.282
empty_00010.npy,169.5086,16.448380,11.022414,2600,0.283
empty_00011.npy,177.6173,19.341869,13.097384,2600,0.284
empty_00012.npy,175.6891,18.249149,12.343891,2600,0.280
empty_00013.npy,173.8033,17.841778,11.972350,2600,0.286
empty_00014.npy,170.9584,17.121798,11.662117,2600,0.284
empty_00015.npy,177.3557,17.455946,12.065871,2600,0.275
empty_00016.npy,180.5380,17.370691,11.949425,2600,0.278
empty_00017.npy,180.3092,17.331789,12.007185,2600,0.280
empty_00018.npy,183.9193,17.275173,11.977229,2600,0.274
empty_00019.npy,188.9296,17.577801,12.241169,2600,0.259
empty_00020.npy,175.4258,18.236826,12.693247,2600,0.275
empty_00021.npy,177.0531,18.704535,13.153234,2600,0.275
empty_00022.npy,172.5410,18.993345,13.162093,2600,0.279
empty_00023.npy,173.2909,18.386086,12.057165,2600,0.282
empty_00024.npy,190.0664,13.660531,8.614463,2600,0.270
empty_00025.npy,181.4705,13.515923,9.377643,2600,0.267
empty_00026.npy,183.7162,16.854307,11.579338,2600,0.279
empty_00027.npy,176.8799,17.417761,11.810379,2600,0.276
empty_00028.npy,186.3348,16.655163,11.416391,2600,0.271
empty_00029.npy,180.0297,16.636806,11.357104,2600,0.276
empty_00030.npy,175.7527,17.224558,11.637650,2600,0.284
empty_00031.npy,170.1076,17.226507,11.580140,2600,0.288
empty_00032.npy,177.7502,15.673980,10.701875,2600,0.285
empty_00033.npy,186.9416,15.513041,10.370283,2600,0.273
empty_00034.npy,181.1129,22.414545,14.693917,2600,0.274
empty_00035.npy,187.4226,15.908642,10.527023,2600,0.281
empty_00036.npy,183.5214,18.401081,11.988274,2598,0.277
empty_00037.npy,175.1546,16.743677,10.735347,2600,0.280
empty_00038.npy,175.9917,16.631210,10.797771,2600,0.269
empty_00039.npy,177.9431,17.102751,11.778290,2600,0.278
empty_00040.npy,177.7104,13.649818,9.356748,2600,0.273
empty_00041.npy,180.5160,16.379835,11.687160,2600,1.172
empty_00042.npy,188.5649,17.284668,11.161007,2600,0.272
empty_00043.npy,183.1699,16.715631,10.499651,2600,0.272
empty_00044.npy,173.2591,17.267941,10.944481,2600,0.291
empty_00045.npy,171.5337,17.375437,10.965094,2600,0.284
