filename,rate_hz,mean,std,nonzero,elapsed_sec
present_00000.npy,169.6416,26.418568,19.869226,2597,0.290
present_00001.npy,201.5868,23.287060,14.957113,2600,0.280
present_00002.npy,185.3394,20.545448,13.515113,2600,0.282
present_00003.npy,177.5210,18.330347,11.222521,2600,0.274
present_00004.npy,174.8867,19.711992,11.579515,2600,0.279
present_00005.npy,167.4786,23.848398,13.708590,2600,0.287
present_00006.npy,177.0585,24.142872,14.508289,2600,0.438
present_00007.npy,186.4190,15.268491,10.266255,2600,1.006
present_00008.npy,176.2002,18.286831,11.034019,2600,0.279
present_00009.npy,175.8084,23.076105,13.527549,2600,0.282
present_00010.npy,180.9044,21.930527,13.970810,2578,0.281
present_00011.npy,173.8879,20.194683,12.052232,2600,0.281
present_00012.npy,182.8533,11.037141,7.017007,2600,0.263
present_00013.npy,212.0263,10.047807,7.209435,2599,0.246
present_00014.npy,180.1341,14.742415,9.421049,2600,0.274
present_00015.npy,194.3150,12.506754,8.080485,2600,0.255
present_00016.npy,175.3308,14.271812,8.989372,2600,0.279
present_00017.npy,174.8258,14.300368,8.775184,2600,0.280
present_00018.npy,181.9329,13.187054,8.886265,2600,1.166
present_00019.npy,174.5446,18.863550,11.641477,2600,0.283
present_00020.npy,191.5850,14.600237,10.173018,2600,0.262
present_00021.npy,178.6777,20.340206,13.608974,2600,0.276
present_00022.npy,175.4787,18.528919,11.870674,2600,0.283
present_00023.npy,180.7224,18.900908,11.565374,2600,0.282
present_00024.npy,177.9529,15.317466,9.464108,2600,0.272
present_00025.npy,180.3583,14.579862,9.627474,2599,0.271
present_00026.npy,185.6242,13.167386,8.903138,2600,0.265
present_00027.npy,203.6776,12.125685,8.227408,2600,0.255
present_00028.npy,189.3343,14.167899,9.103864,2600,0.272
present_00029.npy,172.5998,14.243824,9.156148,2600,0.284
present_00030.npy,188.6344,17.696260,10.904782,2600,0.252
present_00031.npy,185.7613,15.898179,10.474004,2600,0.271
present_00032.npy,179.0039,14.785637,9.792915,2600,0.279
present_00033.npy,165.0346,13.786945,9.021856,2600,0.289
present_00034.npy,191.9366,14.736124,9.211988,2600,0.268
present_00035.npy,178.0587,15.366802,9.663827,2600,0.282
present_00036.npy,187.6408,14.070427,9.050721,2600,0.263
present_00037.npy,187.9835,13.947097,8.869472,2600,0.265
present_00038.npy,195.1648,14.924479,9.105403,2600,0.258
present_00039.npy,189.2398,17.872072,10.286062,2600,0.309
present_00040.npy,180.2323,18.523022,10.517342,2600,0.275
present_00041.npy,179.2050,18.151396,10.326194,2600,0.278
present_00042.npy,173.5150,17.245628,9.791601,2600,0.280
present_00043.npy,182.9377,16.957739,10.676161,2600,1.177
present_00044.npy,181.8338,16.473238,10.094904,2600,0.269
present_00045.npy,194.3691,15.957912,10.042769,2600,0.237
present_00046.npy,170.7621,18.987106,12.294628,2600,0.281
present_00047.npy,163.6706,21.071760,13.448186,2600,0.295
present_00048.npy,172.9120,21.094009,13.236797,2600,0.283
present_00049.npy,178.9358,19.692766,12.628439,2600,0.275
present_00050.npy,172.1282,20.285311,12.865769,2600,0.286
present_00051.npy,176.6192,20.269617,12.966138,2600,0.280
present_00052.npy,178.5362,20.487358,13.149287,2600,0.273
present_00053.npy,178.7484,20.295902,12.781227,2600,0.278
present_00054.npy,180.6145,19.687979,12.562757,2600,0.283
present_00055.npy,185.8787,19.706898,13.150394,2600,0.272
present_00056.npy,173.4217,21.739906,13.686954,2600,0.288
present_00057.npy,187.4872,20.981768,13.215869,2600,0.272
present_00058.npy,178.1564,20.877382,13.114085,2600,0.281
present_00059.npy,177.0195,20.021069,12.776673,2600,0.281
present_00060.npy,179.6237,18.720741,12.375016,2600,0.274
present_00061.npy,174.4832,19.603279,12.480706,2600,0.280
present_00062.npy,176.4661,20.020214,12.896258,2600,0.285
present_00063.npy,186.0063,18.973526,12.528578,2589,0.261
present_00064.npy,174.4239,19.355949,12.370583,2600,0.279
present_00065.npy,173.7325,18.185705,12.073969,2598,0.279
present_00066.npy,173.8951,17.442106,11.925358,2598,0.279
present_00067.npy,171.3780,17.816580,12.050524,2597,0.282
present_00068.npy,178.3872,18.815662,12.656962,2596,0.279
present_00069.npy,177.8590,19.654211,12.874824,2598,0.279
present_00070.npy,173.4065,19.505798,12.531814,2600,0.281
present_00071.npy,177.0790,18.448172,12.155591,2600,0.277
present_00072.npy,177.9026,18.330494,11.834386,2600,0.278
present_00073.npy,169.5205,19.524822,12.202460,2600,0.285
present_00074.npy,180.8348,18.732630,12.291008,2600,0.280
present_00075.npy,166.2244,18.637774,11.861361,2600,0.285
present_00076.npy,182.5004,17.592045,11.489138,2600,0.283
present_00077.npy,170.9730,19.018486,12.227081,2600,0.287
present_00078.npy,174.0714,19.852812,12.719483,2600,0.278
present_00079.npy,175.4866,19.736284,12.840100,2599,0.281
present_00080.npy,166.0879,19.523283,13.004439,2599,0.290
present_00081.npy,182.2553,19.386978,13.078004,2600,0.276
present_00082.npy,176.4570,20.585190,13.015228,2600,0.286
present_00083.npy,179.9521,18.282642,11.568505,2600,0.285
present_00084.npy,183.1721,17.618763,11.354246,2600,0.269
present_00085.npy,174.1441,17.654236,11.482930,2600,0.283
present_00086.npy,180.6570,17.323038,11.329270,2600,0.281
present_00087.npy,172.6919,17.928154,11.789986,2600,0.278
present_00088.npy,181.6241,17.795467,11.635254,2600,0.272
present_00089.npy,184.3246,17.399635,11.777250,2600,0.272
present_00090.npy,180.0041,19.015198,12.138437,2600,0.279
present_00091.npy,180.6119,17.833012,11.750756,2600,0.273
present_00092.npy,179.2618,18.988333,12.178006,2600,0.276
present_00093.npy,184.8594,19.845678,12.461316,2600,0.278
present_00094.npy,179.3609,21.218390,13.368072,2600,0.279
present_00095.npy,180.2512,20.816387,13.154978,2600,0.277
present_00096.npy,167.9912,20.452541,12.614580,2600,0.282
present_00097.npy,174.9672,19.497168,12.314682,2600,0.309
present_00098.npy,177.5201,17.859865,11.957223,2600,0.273
present_00099.npy,178.6174,17.961479,11.884376,2597,0.272
present_00100.npy,185.1788,10.679587,8.393200,2577,0.266
present_00101.npy,214.7588,10.326092,7.956146,2589,0.235
present_00102.npy,212.4670,8.703640,6.269676,2591,0.246
present_00103.npy,207.4055,9.037110,6.564251,2579,0.254
present_00104.npy,217.4782,9.923958,6.476887,2600,0.254
present_00105.npy,209.0881,9.292320,6.937982,2576,0.256
present_00106.npy,183.2392,9.732602,6.717157,2600,0.263
present_00107.npy,179.6896,11.009697,7.746753,2594,0.267
present_00108.npy,203.9558,9.438498,6.557160,2590,0.257
present_00109.npy,217.3281,6.265091,4.531715,2562,0.243
present_00110.npy,190.3874,6.113005,4.774600,2565,0.256
present_00111.npy,215.3659,6.907406,4.929052,2595,0.245
present_00112.npy,220.8986,6.226442,4.574847,2563,0.241
present_00113.npy,216.0119,5.477956,3.938528,2579,0.233
present_00114.npy,221.8137,5.167528,3.915207,2547,0.238
present_00115.npy,196.2652,5.640725,4.167325,2567,0.247
present_00116.npy,223.2929,5.229695,3.670189,2567,0.232
present_00117.npy,217.0402,6.169410,4.414741,2561,0.238
present_00118.npy,225.6527,8.347987,5.932921,2583,0.231
present_00119.npy,212.9477,7.522036,5.736199,2567,0.247
present_00120.npy,213.2691,7.959898,6.255448,2487,0.252
present_00121.npy,192.8431,8.878322,6.941391,2525,0.259
present_00122.npy,214.1004,8.968434,7.047318,2508,0.233
present_00123.npy,205.6983,8.829404,6.968886,2466,0.251
present_00124.npy,199.8411,8.583562,6.749604,2460,0.255
present_00125.npy,206.1757,8.446500,6.629156,2514,0.247
present_00126.npy,178.0718,8.426798,5.987279,2575,0.271
present_00127.npy,202.3430,5.330128,4.006719,2535,0.247
present_00128.npy,181.9624,8.866387,5.791183,2593,0.268
present_00129.npy,211.5299,9.117136,6.677505,2587,0.252
present_00130.npy,190.7460,9.077892,6.627688,2583,0.279
present_00131.npy,192.2581,9.240093,6.656439,2599,0.264
present_00132.npy,212.4339,8.724964,6.008821,2600,0.248
present_00133.npy,180.5293,8.579059,5.999380,2600,0.270
present_00134.npy,208.0554,8.488173,5.979520,2600,0.251
present_00135.npy,208.6315,8.471998,5.821050,2600,0.255
present_00136.npy,204.0627,10.014653,7.106017,2600,0.256
present_00137.npy,209.4173,9.337680,6.848421,2586,0.256
present_00138.npy,225.4608,8.417216,6.220670,2580,0.230
present_00139.npy,205.7812,8.746743,6.304175,2574,0.257
present_00140.npy,218.9687,7.825305,5.431067,2586,0.247
present_00141.npy,217.3785,5.882621,4.582517,2564,0.239
present_00142.npy,183.1472,8.517181,6.551082,2532,0.262
present_00143.npy,196.4947,10.052020,7.567716,2572,0.258
present_00144.npy,221.0926,7.111967,5.689376,2508,0.245
present_00145.npy,221.4799,6.317247,4.852759,2496,0.234
present_00146.npy,212.9565,6.487463,4.905482,2530,0.246
present_00147.npy,216.1792,7.715099,5.554844,2579,0.239
present_00148.npy,212.2065,8.381822,5.821893,2594,0.252
present_00149.npy,223.1714,6.793559,5.118813,2539,0.237
present_00150.npy,206.8942,6.219547,4.921164,2519,0.242
present_00151.npy,221.8367,7.583838,5.986580,2505,0.240
present_00152.npy,215.5705,9.013462,6.963791,2552,3.205
present_00153.npy,185.6890,9.503127,7.420008,2507,0.266
present_00154.npy,176.7839,10.702086,8.209581,2552,0.271
present_00155.npy,203.8573,11.230405,8.630281,2571,0.289
present_00156.npy,187.9636,10.976210,8.536777,2577,0.268
present_00157.npy,182.0721,11.590227,9.068942,2582,0.265
present_00158.npy,217.8021,11.175482,8.743810,2585,0.230
present_00159.npy,207.0167,10.000097,7.784977,2575,0.259
present_00160.npy,194.8997,9.996651,7.747586,2573,0.257
present_00161.npy,195.3234,11.323957,8.790933,2587,0.261
present_00162.npy,214.3759,11.145735,8.617900,2571,0.265
present_00163.npy,195.8651,10.811451,8.267388,2568,0.259
present_00164.npy,214.0938,11.360991,8.714808,2573,0.257
present_00165.npy,200.0028,10.483391,7.966476,2555,0.250
present_00166.npy,218.9685,9.134824,6.948920,2532,0.238
present_00167.npy,194.0470,9.723387,7.402880,2572,0.260
present_00168.npy,219.4908,10.349287,7.829995,2568,0.237
present_00169.npy,214.8117,9.828029,7.633776,2530,0.243
present_00170.npy,220.2889,9.625953,7.096396,2578,0.242
present_00171.npy,214.5577,9.303145,6.610285,2592,0.248
present_00172.npy,217.0086,7.254598,5.691073,2525,0.249
present_00173.npy,205.5760,7.906388,5.950549,2600,0.252
present_00174.npy,221.4483,7.248059,5.521409,2594,0.234
present_00175.npy,223.2563,7.261184,5.687367,2556,0.241
present_00176.npy,213.0644,8.055248,6.075579,2561,0.243
present_00177.npy,214.7138,7.883921,6.122885,2528,0.291
present_00178.npy,220.8828,9.817270,7.584769,2550,0.213
present_00179.npy,188.5977,10.017242,7.885400,2530,0.287
present_00180.npy,184.8890,11.077236,8.679582,2577,0.265
present_00181.npy,181.2503,12.603376,9.983779,2589,0.273
present_00182.npy,192.6179,12.469905,9.731531,2593,0.271
present_00183.npy,195.4094,11.381913,8.729075,2600,0.262
present_00184.npy,202.1864,10.598261,8.075252,2573,0.276
present_00185.npy,198.8348,12.391118,9.500141,2590,1.158
present_00186.npy,201.0699,11.249554,8.587021,2595,0.258
present_00187.npy,208.3721,9.048759,6.333513,2593,0.257
present_00188.npy,195.2295,6.552058,4.621035,2576,0.251
present_00189.npy,186.1750,6.453439,4.518607,2575,0.253
present_00190.npy,195.7258,6.376644,4.214963,2585,0.250
present_00191.npy,227.1507,6.195071,4.737105,2576,0.229
present_00192.npy,217.5101,8.525066,6.407525,2558,0.236
present_00193.npy,217.8613,9.281186,7.100103,2568,0.242
present_00194.npy,214.2101,8.695801,6.747633,2561,0.248
present_00195.npy,215.4203,8.658909,6.761299,2523,0.244
present_00196.npy,207.4785,9.652500,7.633265,2514,0.339
present_00197.npy,209.3325,9.012088,6.991542,2519,0.250
present_00198.npy,191.1670,10.021160,7.549284,2541,0.258
present_00199.npy,215.3808,10.058110,7.736099,2532,0.251
present_00200.npy,114.4281,13.631714,10.356330,2571,3.434
present_00201.npy,136.0957,8.382282,5.485307,2600,0.742
present_00202.npy,123.1206,9.204606,6.070568,2600,3.169
present_00203.npy,214.2279,9.948977,6.206604,2600,0.249
present_00204.npy,217.3064,10.172188,6.313381,2600,0.250
present_00205.npy,214.8045,9.896880,6.425867,2600,0.374
present_00206.npy,191.1292,10.033948,6.413260,2600,0.272
present_00207.npy,199.5733,10.309502,6.407329,2600,0.254
present_00208.npy,209.1436,10.420771,6.442029,2600,0.248
present_00209.npy,197.0405,10.482952,6.491719,2600,0.260
present_00210.npy,206.2316,10.015441,6.473964,2600,0.253
present_00211.npy,203.4154,10.599697,6.542493,2600,0.261
present_00212.npy,195.7574,10.629358,6.572686,2600,0.261
present_00213.npy,186.7683,10.747108,6.701143,2600,0.267
present_00214.npy,189.7857,10.868814,6.703321,2600,0.269
present_00215.npy,181.0244,10.975164,6.744452,2600,0.272
present_00216.npy,191.1053,11.006120,6.809370,2600,0.269
present_00217.npy,186.2624,11.208497,6.891836,2600,0.263
present_00218.npy,183.7889,11.384407,7.017500,2600,0.269
present_00219.npy,187.7319,11.447531,7.078378,2600,0.267
present_00220.npy,185.6610,11.415854,7.012142,2600,0.265
present_00221.npy,193.2332,11.403559,7.079844,2600,0.258
present_00222.npy,200.7533,11.254568,6.970184,2600,0.258
present_00223.npy,203.4651,11.505322,7.100819,2600,0.254
present_00224.npy,182.4618,11.491836,7.094798,2600,0.271
present_00225.npy,192.9196,11.435613,7.060423,2600,0.267
present_00226.npy,195.3992,11.270234,6.975286,2600,0.249
present_00227.npy,185.6804,11.377529,7.050284,2600,0.266
present_00228.npy,186.6323,11.430783,7.051662,2600,0.267
present_00229.npy,188.0257,11.458746,7.062926,2600,0.268
present_00230.npy,177.0823,11.592121,7.178499,2600,0.271
present_00231.npy,185.7863,11.449546,7.068555,2600,0.270
present_00232.npy,205.4707,11.213921,6.950013,2600,0.258
present_00233.npy,197.0248,11.090281,6.851098,2600,0.320
present_00234.npy,194.8843,10.943551,6.751824,2600,0.521
present_00235.npy,185.2876,10.772353,6.690769,2600,0.365
present_00236.npy,175.0717,10.430002,6.452765,2600,0.315
present_00237.npy,161.9114,10.050859,6.219971,2600,0.561
present_00238.npy,158.6408,9.932533,6.075986,2600,3.303
present_00239.npy,134.3559,9.951032,6.082693,2600,0.538
present_00240.npy,136.8864,9.768161,6.166484,2600,0.450
present_00241.npy,203.8495,9.849047,6.219050,2600,0.490
present_00242.npy,205.4384,10.505027,6.528281,2600,0.454
present_00243.npy,181.6858,10.928625,6.719966,2600,0.274
present_00244.npy,192.4673,10.970818,6.741469,2600,0.262
present_00245.npy,176.9662,10.964007,6.736671,2600,0.271
present_00246.npy,204.8093,10.477339,6.761868,2600,0.266
present_00247.npy,191.0222,10.854262,6.667455,2600,0.260
present_00248.npy,197.4248,10.373811,6.694515,2600,0.277
present_00249.npy,200.9328,10.629799,6.573422,2600,0.257
present_00250.npy,188.9102,10.570024,6.510107,2600,0.260
present_00251.npy,195.3002,10.634480,6.515250,2600,0.261
present_00252.npy,191.4265,10.613430,6.515927,2600,0.260
present_00253.npy,192.4629,10.210221,6.595867,2600,0.269
present_00254.npy,191.2658,10.495680,6.454074,2600,0.261
present_00255.npy,186.1623,10.623204,6.534431,2600,0.266
present_00256.npy,209.4567,10.495476,6.422030,2600,0.246
present_00257.npy,203.7165,10.482647,6.435380,2600,0.257
present_00258.npy,188.1407,10.299555,6.330910,2600,0.260
present_00259.npy,217.5174,10.394409,6.370515,2600,0.213
present_00260.npy,190.6525,10.417534,6.424999,2600,0.262
present_00261.npy,186.7405,10.471980,6.432764,2600,0.268
present_00262.npy,178.4508,10.096516,6.167636,2600,0.308
present_00263.npy,185.8646,10.008861,6.085092,2600,0.370
present_00264.npy,165.7184,9.945064,6.021453,2600,0.378
present_00265.npy,155.8880,9.898359,6.002706,2600,0.366
present_00266.npy,163.8069,9.754145,5.917276,2600,0.370
present_00267.npy,173.5662,9.707190,5.915988,2600,0.406
present_00268.npy,184.1468,9.978830,6.068604,2600,0.331
present_00269.npy,182.0616,10.078021,6.193676,2600,0.262
present_00270.npy,184.9139,9.620611,6.153664,2600,0.331
present_00271.npy,196.6475,10.129775,6.194338,2600,0.263
present_00272.npy,191.6553,10.415371,6.423447,2600,0.264
present_00273.npy,195.9030,10.425808,6.410931,2600,0.255
present_00274.npy,190.4664,10.568145,6.526242,2600,0.267
present_00275.npy,186.6781,10.539680,6.483209,2600,0.268
present_00276.npy,208.5776,10.212079,6.612157,2600,0.256
present_00277.npy,197.8033,10.200518,6.594630,2600,0.266
present_00278.npy,188.5166,10.538582,6.468278,2600,0.268
present_00279.npy,193.8787,10.264858,6.510847,2600,0.253
present_00280.npy,189.5091,10.600694,6.543581,2600,0.259
present_00281.npy,204.1959,9.722151,6.558447,2600,0.260
present_00282.npy,193.9171,10.101362,6.516084,2600,0.257
present_00283.npy,190.2711,10.163553,6.439889,2600,0.254
present_00284.npy,188.8517,10.494193,6.450898,2600,0.266
present_00285.npy,189.5413,10.168916,6.561086,2600,0.262
present_00286.npy,205.4926,9.868750,6.463259,2600,0.258
present_00287.npy,190.0301,9.166501,6.579011,2600,0.262
present_00288.npy,195.0557,10.079311,6.648214,2600,0.256
present_00289.npy,195.2013,10.108751,6.635325,2600,0.256
present_00290.npy,185.1451,10.426194,6.547646,2600,0.261
present_00291.npy,187.9474,10.704479,6.649113,2600,0.261
present_00292.npy,190.7493,10.473388,6.707950,2600,0.263
present_00293.npy,196.3211,10.642337,6.630286,2600,0.260
present_00294.npy,199.5890,10.722539,6.630419,2600,0.258
present_00295.npy,217.0149,10.528182,6.764465,2600,0.213
present_00296.npy,186.3991,10.790969,6.691925,2600,0.269
present_00297.npy,187.4997,10.830127,6.761882,2600,0.269
present_00298.npy,191.4397,10.679325,6.643758,2600,0.260
present_00299.npy,188.2075,10.814156,6.710672,2600,0.268
